worker_id,role_id,work_date,start_time,end_time,break_minutes,hours,notes
W001,R001,2026-01-10,09:00,18:00,60,,
W002,R002,2026-01-10,09:00,18:00,60,,責任者として勤務
W003,R001,2026-01-10,18:00,22:00,0,,
W001,R001,2026-01-15,09:00,18:00,60,,
W004,R001,2026-01-15,09:00,18:00,60,,
W003,R001,2026-01-15,18:00,22:00,0,,
W003,R001,2026-01-15,22:00,06:00,0,,夜勤
W001,R001,2026-01-20,09:00,18:00,60,,
W005,R001,2026-01-20,09:00,18:00,60,,
W003,R001,2026-01-20,18:00,22:00,0,,
W003,R001,2026-01-20,22:00,06:00,0,,夜勤
W006,R003,2026-01-15,08:00,17:00,60,,交通誘導
W006,R003,2026-01-16,08:00,17:00,60,,交通誘導
W006,R003,2026-01-17,08:00,17:00,60,,交通誘導
W006,R003,2026-01-20,08:00,17:00,60,,交通誘導
W006,R003,2026-01-21,08:00,17:00,60,,交通誘導
W006,R003,2026-01-22,08:00,17:00,60,,交通誘導
