assignment_id,shift_slot_id,worker_id,role_id,status,locked_price_sales,locked_price_outsource,notes
ASG001,SL001,W001,R001,confirmed,,,
ASG002,SL001,W002,R002,confirmed,,,責任者
ASG003,SL002,W003,R001,confirmed,,,
ASG004,SL003,W001,R001,confirmed,,,
ASG005,SL003,W004,R001,confirmed,,,
ASG006,SL004,W003,R001,confirmed,,,
ASG007,SL005,W001,R001,confirmed,,,
ASG008,SL005,W005,R001,confirmed,,,
ASG009,SL006,W003,R001,confirmed,,,
ASG010,SL007,W003,R001,confirmed,,,夜勤専門
ASG011,SL008,W003,R001,confirmed,,,夜勤専門
ASG012,SL009,W003,R001,confirmed,,,夜勤専門
ASG013,SL010,W006,R003,confirmed,,,交通誘導
ASG014,SL011,W006,R003,confirmed,,,交通誘導
ASG015,SL012,W006,R003,confirmed,,,交通誘導
ASG016,SL013,W006,R003,confirmed,,,交通誘導
ASG017,SL014,W006,R003,confirmed,,,交通誘導
ASG018,SL015,W006,R003,confirmed,,,交通誘導
