slot_id,project_id,work_date,start_time,end_time,required_count,notes
SL001,PRJ001,2026-01-10,09:00,18:00,2,日勤シフト
SL002,PRJ001,2026-01-10,18:00,22:00,1,夕勤シフト
SL003,PRJ001,2026-01-15,09:00,18:00,2,日勤シフト
SL004,PRJ001,2026-01-15,18:00,22:00,1,夕勤シフト
SL005,PRJ001,2026-01-20,09:00,18:00,2,日勤シフト
SL006,PRJ001,2026-01-20,18:00,22:00,1,夕勤シフト
SL007,PRJ002,2026-01-10,22:00,06:00,1,夜勤シフト
SL008,PRJ002,2026-01-15,22:00,06:00,1,夜勤シフト
SL009,PRJ002,2026-01-20,22:00,06:00,1,夜勤シフト
SL010,PRJ003,2026-01-15,08:00,17:00,1,工事現場
SL011,PRJ003,2026-01-16,08:00,17:00,1,工事現場
SL012,PRJ003,2026-01-17,08:00,17:00,1,工事現場
SL013,PRJ003,2026-01-20,08:00,17:00,1,工事現場
SL014,PRJ003,2026-01-21,08:00,17:00,1,工事現場
SL015,PRJ003,2026-01-22,08:00,17:00,1,工事現場
