assignment_id,shift_slot_id,worker_id,role_id,status,locked_price_sales,locked_price_outsource,notes
A0001,SS001,W001,R01,confirmed,,,
A0002,SS002,W002,R02,confirmed,,,
A0003,SS003,W003,R03,confirmed,,,
A0004,SS004,W004,R01,confirmed,,,
A0005,SS005,W005,R02,confirmed,,,
A0006,SS006,W006,R03,confirmed,,,
A0007,SS007,W007,R01,confirmed,,,
A0008,SS008,W008,R02,confirmed,,,
A0009,SS009,W009,R03,confirmed,,,
A0010,SS010,W010,R01,confirmed,,,
A0011,SS011,W001,R02,confirmed,,,
A0012,SS012,W002,R03,confirmed,,,
A0013,SS013,W003,R01,confirmed,,,
A0014,SS014,W004,R02,confirmed,,,
A0015,SS015,W005,R03,confirmed,,,
A0016,SS016,W006,R01,confirmed,,,
A0017,SS017,W007,R02,confirmed,,,
A0018,SS018,W008,R03,confirmed,,,
A0019,SS019,W009,R01,confirmed,,,
A0020,SS020,W010,R02,confirmed,,,
A0021,SS021,W001,R03,confirmed,,,
A0022,SS022,W002,R01,confirmed,,,
A0023,SS023,W003,R02,confirmed,,,
A0024,SS024,W004,R03,confirmed,,,
A0025,SS025,W005,R01,confirmed,,,
A0026,SS026,W006,R02,confirmed,,,
A0027,SS027,W007,R03,confirmed,,,
A0028,SS028,W008,R01,confirmed,,,
A0029,SS029,W009,R02,confirmed,,,
A0030,SS030,W010,R03,confirmed,,,
