"type_id","name","category_level","parent_major","parent_middle"
"PT001","J社_加熱式タバコ販促PR施策","major","",""
"PT002","J社_紙巻きタバコサンプリングPR施策","major","",""
"PT004","その他","major","",""
"PT003","喫煙調査施策","major","",""
"PT005","TP開拓","middle","J社_加熱式タバコ販促PR施策",""
"PT010","パーキング/喫煙所系","middle","J社_加熱式タバコ販促PR施策",""
"PT009","飲食:店巡回_武蔵野支社","middle","J社_加熱式タバコ販促PR施策",""
"PT007","飲食:店巡回1480円","middle","J社_加熱式タバコ販促PR施策",""
"PT006","飲食:店巡回2980円","middle","J社_加熱式タバコ販促PR施策",""
"PT008","飲食:店巡回 980円","middle","J社_加熱式タバコ販促PR施策",""
"PT014","喫煙マナー調査","middle","喫煙調査施策",""
"PT011","商業施設/たばこ屋系","middle","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策",""
"PT013","大型フェス系","middle","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策",""
"PT012","中小型フェス系","middle","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策",""
"PT015","履行確認","middle","喫煙調査施策",""
"PT065","BLF2026_事前準備","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT068","BLF2026_片付/発送","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT066","BLF2026_本番1日目","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT067","BLF2026_本番2日目","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT069","CSW六本木26","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT070","RUMBLE&JAG","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT071","SAKURA STREET","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT077","あみプレミアム・アウトレット","minor","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT038","アキラ","minor","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策","商業施設/たばこ屋系"
"PT072","ツタロック","minor","J社_加熱式タバコ販促PR施策","中小型フェス系"
"PT050","テント設営/撤去","minor","J社_加熱式タバコ販促PR施策","TP開拓"
"PT037","ドンキ梅島","minor","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策","商業施設/たばこ屋系"
"PT039","にん仙","minor","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策","商業施設/たばこ屋系"
"PT028","パラカ新橋","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系"
"PT059","パラカ新橋","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系1480円"
"PT061","パラカ新橋","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系2980円"
"PT063","パラカ新橋","minor","J社_加熱式タバコ販促PR施策","パーキング/喫煙所系980円"
"PT041","ビック立川","minor","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策","商業施設/たばこ屋系"
"PT040","一古","minor","J社_加熱式タバコ販促PR施策|J社_紙巻きタバコサンプリングPR施策","商業施設/たばこ屋系"
"PT100","飲食:蒲","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT024","飲食:蒲","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT122","飲食:蒲","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT042","飲食:吉","minor","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT093","飲食:五","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT026","飲食:五","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT115","飲食:五","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT099","飲食:秋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT025","飲食:秋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT121","飲食:秋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT097","飲食:渋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT016","飲食:渋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT119","飲食:渋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT092","飲食:上","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
"PT022","飲食:上","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回2980円"
"PT114","飲食:上","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回 980円"
"PT095","飲食:新橋","minor","J社_加熱式タバコ販促PR施策","飲食:店巡回1480円"
