現場管理報酬...,1日毎(1人工毎),"¥1,000",,,紹介者報酬...,今現在は新しく追加で紹介者という人は作らない。過去紹介者として紹介してくれた方に今でも支払いを続けている。,,,,,,,,,,,,,,,,,,,
,例)下の子が10名いて全員20日稼働した場合,,,,,※紹介該当者：2名（平野様、笠井様）,,,,,,,,,,,,,,,,,,,
,"10名×20日=200日 / 200日×¥1,000=¥200,000-(税抜)",,,,,"条件：紹介者の方が紹介してくれた方が稼働する日数×¥1,000 or ×¥2,000支払う。",,,,,,,,,,,,,,,,,,,
,※一律現場管理者1名/10万円(税抜)に変更する可能性有り,,,,,例）該当稼働者が月10日間稼働した場合で、紹介報酬が1日(1人工)/¥2000だった場合,,,,,,,,,,,,,,,,,,,
,,,,,,"¥2,000×10日間=¥20,000-",,,,,,,,,,,,,,,,,,,
全体統括報酬...,drv社案件全体売上の8%,,,,,※今年度中には無くす可能性有り,,,,,,,,,,,,,,,,,,,
,例)売上1000万円(税抜)だった場合,,,,,,,,,,,,,,,,,,,,,,,,
,1000万円(税抜)×8%=80万円(税抜),,,,,,,,,,,,,,,,,,,,,,,,
,※2月末に報酬見直しmtgを行う為、変更になる可能性有り,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,↓↓↓現場/全体統括報酬抜き,,,,,↓↓↓現場/全体統括報酬差し引き,,,,,,,,,,,,
■稼働者/下請け報酬表（1日(1人工)/ベース報酬）※インセンティブは全額スルー支払い,,,,,,,,支払い金額A,支払い金額B,支払い金額C,支払い金額D,支払い金額E,支払い金額A,支払い金額B,支払い金額C,支払い金額D,支払い金額E,,,,,,,,
請求金額,支払い金額A,支払い金額B,支払い金額C,支払い金額D,支払い金額E,現場管理報酬,全体統括報酬,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,粗利益率,備考,,,,,,,
"¥40,000","¥26,000","¥25,000","¥24,000",,,"¥1,000","¥3,200",35.00%,37.50%,40.00%,,,24.50%,27.00%,29.50%,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥39,000","¥26,000","¥25,000","¥24,000",,,"¥1,000","¥3,120",33.33%,35.90%,38.46%,,,22.77%,25.33%,27.90%,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥38,000","¥26,000","¥25,000","¥24,000",,,"¥1,000","¥3,040",31.58%,34.21%,36.84%,,,20.95%,23.58%,26.21%,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥37,000","¥26,000","¥25,000","¥24,000",,,"¥1,000","¥2,960",29.73%,32.43%,35.14%,,,19.03%,21.73%,24.43%,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥36,000","¥26,000","¥25,000","¥24,000",,,"¥1,000","¥2,880",27.78%,30.56%,33.33%,,,17.00%,19.78%,22.56%,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥35,000","¥25,000","¥24,000","¥23,000","¥22,000","¥21,000","¥1,000","¥2,800",28.57%,31.43%,34.29%,37.14%,40.00%,17.71%,20.57%,23.43%,26.29%,29.14%,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥34,000","¥24,000","¥23,000","¥22,000","¥21,000",,"¥1,000","¥2,720",29.41%,32.35%,35.29%,38.24%,,18.47%,21.41%,24.35%,27.29%,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥33,000","¥24,000","¥23,000","¥22,000","¥21,000",,"¥1,000","¥2,640",27.27%,30.30%,33.33%,36.36%,,16.24%,19.27%,22.30%,25.33%,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥32,000","¥22,000","¥21,000",,,,"¥1,000","¥2,560",31.25%,34.38%,,,,20.13%,23.25%,,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥31,000","¥22,000","¥21,000",,,,"¥1,000","¥2,480",29.03%,32.26%,,,,17.81%,21.03%,,,,イベント長時間案件/Wヘッダー案件など,,,,,,,
"¥30,000","¥22,000","¥21,000",,,,"¥1,000","¥2,400",26.67%,30.00%,,,,15.33%,18.67%,,,,既存時間超過案件/イベント長時間案件など,,,,,,,
"¥29,000","¥20,000","¥19,000",,,,"¥1,000","¥2,320",31.03%,34.48%,,,,19.59%,23.03%,,,,既存時間超過案件/イベント長時間案件など,,,,,,,
"¥28,000","¥19,000",,,,,"¥1,000","¥2,240",32.14%,,,,,20.57%,88.43%,,,,既存時間超過案件/イベント長時間案件など,,,,,,,
"¥27,000","¥18,000",,,,,"¥1,000","¥2,160",33.33%,,,,,21.63%,88.30%,,,,既存時間超過案件,,,,,,,
"¥26,000","¥17,000","¥16,000",,,,"¥1,000","¥2,080",34.62%,38.46%,,,,22.77%,26.62%,,,,既存時間超過案件/小規模イベントディレクター案件,,,,,,,
"¥25,000","¥16,000",,,,,"¥1,000","¥2,000",36.00%,,,,,24.00%,88.00%,,,,ここがベース的考え（8h稼働ならこの単価）,,,,,,,
"¥24,000","¥16,000",,,,,"¥1,000","¥1,920",33.33%,,,,,21.17%,87.83%,,,,小規模イベントスタッフ案件(ディレクターではない) / アンケート回収,,,,,,,
"¥23,000","¥16,000","¥15,000",,,,"¥1,000","¥1,840",30.43%,34.78%,,,,18.09%,22.43%,,,,小規模イベントスタッフ案件(ディレクターではない) / アンケート回収,,,,,,,
"¥22,000","¥16,000","¥15,000",,,,"¥1,000","¥1,760",27.27%,31.82%,,,,14.73%,19.27%,,,,6h現場案件など,,,,,,,
"¥21,000","¥16,000","¥15,000","¥14,000",,,"¥1,000","¥1,680",23.81%,28.57%,33.33%,,,11.05%,15.81%,20.57%,,,5~6h現場案件など,,,,,,,
"¥20,000","¥16,000","¥15,000","¥14,000","¥13,000","¥12,000","¥1,000","¥1,600",20.00%,25.00%,30.00%,35.00%,40.00%,7.00%,12.00%,17.00%,22.00%,27.00%,5~6h現場案件など,,,,,,,
"¥19,000","¥14,000","¥13,000","¥12,000",,,"¥1,000","¥1,520",26.32%,31.58%,36.84%,,,13.05%,18.32%,23.58%,,,4h現場案件など,,,,,,,
"¥18,000","¥12,000",,,,,"¥1,000","¥1,440",33.33%,,,,,19.78%,,,,,4h現場案件など,,,,,,,
"¥17,000","¥10,000",,,,,"¥1,000","¥1,360",41.18%,,,,,27.29%,,,,,3~4h現場案件など,,,,,,,
"¥16,000","¥10,000",,,,,"¥1,000","¥1,280",37.50%,,,,,23.25%,,,,,2~3h現場案件など,,,,,,,
"¥15,000","¥10,000",,,,,"¥1,000","¥1,200",33.33%,,,,,18.67%,,,,,2~3h現場案件/研修など,,,,,,,
"¥14,000","¥9,000",,,,,"¥1,000","¥1,120",35.71%,,,,,20.57%,,,,,2~3h現場案件/研修など（あんま前例ない）,,,,,,,
