,,,誰から,何を,どこで,どのように,,,,,,,,,,,,,,,,,,,,,,,,
,クライアント,クライアント,クライアント,施策名,案件名,TP名称,,,,,,,,,,,,,,,,,,,,,,,,
ID,会社名,責任者,メイン担当者,大カテゴリ,中カテゴリ,小カテゴリ,開始期間,終了期間,住所,集合時間,開始時間,終了時間,解散時間,"1日
稼働時間(h)",詳細リンク,販売ルール,"請求単価/月
ベース報酬(税抜)","請求単価/1日
1人工/ベース報酬(税抜)","請求単価/1日
1人工/インセン報酬",備考,,,,,,,,,,
drv26001,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,埼玉/東京エリア,2026/1/1,2026/12/31,,,,,,8,,,"¥1,150,000",-,-,月額報酬制(2名),,,,,,,,,,
drv26002,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,埼玉/東京_事務局,2026/1/1,2026/12/31,,,,,,8,,,"¥200,000",-,-,月額固定報酬制,,,,,,,,,,
drv26003,drv社,中垣,喜多井,J社_加熱式タバコ販促PR施策,TP開拓,南関東(神奈川/千葉)エリア,2026/3/1,2026/12/31,,,,,,8,,,"¥1,100,000",-,-,月額報酬制(2名),,,,,,,,,,
drv26004,drv社,中垣,鮎川,J社_加熱式タバコ販促PR施策,TP開拓,中日本(愛知/岐阜/三重)エリア,2026/4/1,2026/9/30,,,,,,8,,,"¥550,000",-,-,月額報酬制(1名),,,,,,,,,,
drv26005,drv社,中垣,鮎川,J社_加熱式タバコ販促PR施策,TP開拓,南関東/中日本_事務局,2026/4/1,2026/9/30,,,,,,-,,,"¥200,000",-,-,月額固定報酬制,,,,,,,,,,
drv26006,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,追加事務局,2026/1/1,2026/12/31,,,,,,-,,,,,,"2025年7月以降で毎月領収書の数が100~150件ほど発生しておりまして、想定以上に数がございますので、追加費用ご検討いただけますと幸いです。
　例)50件〜：¥25,000(税抜)
　　 100件〜：¥50,000(税抜)　のような。
　※以降50件毎に¥25,000(税抜)追加
※要確認中",,,,,,,,,,
drv26007,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,追加人員手配,2026/1/1,2026/12/31,,,,,,8,,,-,"¥25,000",-,"◆外販人員稼働時の整理
　TP開拓人員の代打の場合：追加報酬なし
　TP開拓人員＋α人員必要時：¥25,000/日(8hイメージ)　※1時間あたりの延長費は￥3,000ベース",,,,,,,,,,
drv26008,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,車両ピック,2026/1/1,2026/12/31,,,,,,1,,,-,"¥5,000",-,"◆車両ピック、テント設営、撤去人員(2026年はトライアル2名実施のため、基本は発生しない認識)
　車両ピック　¥5,000(税抜)
　テント設営・撤去(開始と終わりで実稼働2.0h程度)　¥10,000(税抜)",,,,,,,,,,
drv26009,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,TP開拓,テント設営/撤去,2026/1/1,2026/12/31,,,,,,2,,,-,"¥10,000",-,上記【U11】と同じ,,,,,,,,,,
drv26010,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食渋,2026/1/1,2026/12/31,渋谷駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000","インセンティブは、その時のキャンペーン内容等に応じて変更になります。(月平均販売台数により変更)
◯台~◯台 ¥1,000
◯台~◯台 ¥2,000
◯台~◯台 ¥3,000
◯台~◯台 ¥4,000
◯台~◯台 ¥6,000
※月間ave販売台数による",,,,,,,,,,
drv26011,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食新宿,2026/1/1,2026/12/31,新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26012,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食西新,2026/1/1,2026/12/31,西新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26013,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食池,2026/1/1,2026/12/31,池袋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26014,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食新橋,2026/1/1,2026/12/31,新橋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26015,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食赤,2026/1/1,2026/12/31,赤坂駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26016,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食上,2026/1/1,2026/12/31,上野駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26017,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食神,2026/1/1,2026/12/31,神田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26018,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食蒲,2026/1/1,2026/12/31,蒲田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26019,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食秋,2026/1/1,2026/12/31,秋葉原駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26020,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回2980円,飲食五,2026/1/1,2026/12/31,五反田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26021,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食渋,2026/1/1,2026/12/31,渋谷駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26022,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食新宿,2026/1/1,2026/12/31,新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26023,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食西新,2026/1/1,2026/12/31,西新宿駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26024,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食池,2026/1/1,2026/12/31,池袋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26025,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食新橋,2026/1/1,2026/12/31,新橋駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26026,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食赤,2026/1/1,2026/12/31,赤坂駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26027,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食上,2026/1/1,2026/12/31,上野駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26028,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食神,2026/1/1,2026/12/31,神田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26029,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食蒲,2026/1/1,2026/12/31,蒲田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26030,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食秋,2026/1/1,2026/12/31,秋葉原駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
drv26031,drv社,中垣,中村,J社_加熱式タバコ販促PR施策,飲食店巡回1480円,飲食五,2026/1/1,2026/12/31,五反田駅,,15:00,23:00,,8,,,-,"¥25,000","¥1,000~¥6,000",上記【U13】と同じ,,,,,,,,,,
