slot_id,project_id,work_date,start_time,end_time,required_count,notes
SS001,P001,2026-01-05,09:00,18:00,2,
SS002,P002,2026-01-06,18:00,23:00,1,
SS003,P003,2026-01-07,09:00,18:00,1,
SS004,P001,2026-01-08,18:00,23:00,2,
SS005,P002,2026-01-09,09:00,18:00,1,
SS006,P003,2026-01-10,18:00,23:00,1,
SS007,P001,2026-01-11,09:00,18:00,2,
SS008,P002,2026-01-12,18:00,23:00,1,
SS009,P003,2026-01-13,09:00,18:00,1,
SS010,P001,2026-01-14,18:00,23:00,2,
SS011,P002,2026-01-15,09:00,18:00,1,
SS012,P003,2026-01-16,18:00,23:00,1,
SS013,P001,2026-01-17,09:00,18:00,2,
SS014,P002,2026-01-18,18:00,23:00,1,
SS015,P003,2026-01-19,09:00,18:00,1,
SS016,P001,2026-01-20,18:00,23:00,2,
SS017,P002,2026-01-21,09:00,18:00,1,
SS018,P003,2026-01-22,18:00,23:00,1,
SS019,P001,2026-01-23,09:00,18:00,2,
SS020,P002,2026-01-24,18:00,23:00,1,
SS021,P003,2026-01-05,09:00,18:00,1,
SS022,P001,2026-01-06,18:00,23:00,2,
SS023,P002,2026-01-07,09:00,18:00,1,
SS024,P003,2026-01-08,18:00,23:00,1,
SS025,P001,2026-01-09,09:00,18:00,2,
SS026,P002,2026-01-10,18:00,23:00,1,
SS027,P003,2026-01-11,09:00,18:00,1,
SS028,P001,2026-01-12,18:00,23:00,2,
SS029,P002,2026-01-13,09:00,18:00,1,
SS030,P003,2026-01-14,18:00,23:00,1,
