slot_id,project_id,work_date,start_time,end_time,required_count,notes,site_manager_id
SS001,P001,2026-01-05,09:00,18:00,2,,W001
SS002,P002,2026-01-06,18:00,23:00,1,,W002
SS003,P003,2026-01-07,09:00,18:00,1,,W001
SS004,P001,2026-01-08,18:00,23:00,2,,W001
SS005,P002,2026-01-09,09:00,18:00,1,,W002
SS006,P003,2026-01-10,18:00,23:00,1,,W001
SS007,P001,2026-01-11,09:00,18:00,2,,W001
SS008,P002,2026-01-12,18:00,23:00,1,,W002
SS009,P003,2026-01-13,09:00,18:00,1,,W001
SS010,P001,2026-01-14,18:00,23:00,2,,W001
SS011,P002,2026-01-15,09:00,18:00,1,,W002
SS012,P003,2026-01-16,18:00,23:00,1,,W001
SS013,P001,2026-01-17,09:00,18:00,2,,W001
SS014,P002,2026-01-18,18:00,23:00,1,,W002
SS015,P003,2026-01-19,09:00,18:00,1,,W001
SS016,P001,2026-01-20,18:00,23:00,2,,W001
SS017,P002,2026-01-21,09:00,18:00,1,,W002
SS018,P003,2026-01-22,18:00,23:00,1,,W001
SS019,P001,2026-01-23,09:00,18:00,2,,W001
SS020,P002,2026-01-24,18:00,23:00,1,,W002
SS021,P003,2026-01-05,09:00,18:00,1,,W001
SS022,P001,2026-01-06,18:00,23:00,2,,W001
SS023,P002,2026-01-07,09:00,18:00,1,,W002
SS024,P003,2026-01-08,18:00,23:00,1,,W001
SS025,P001,2026-01-09,09:00,18:00,2,,W001
SS026,P002,2026-01-10,18:00,23:00,1,,W002
SS027,P003,2026-01-11,09:00,18:00,1,,W001
SS028,P001,2026-01-12,18:00,23:00,2,,W001
SS029,P002,2026-01-13,09:00,18:00,1,,W002
SS030,P003,2026-01-14,18:00,23:00,1,,W001
