ID,アプリ名,アプリURL,アプリ設定URL,所属スペース,所属スペースURL,アプリグループ,ステータス,レコードの最終更新日,レコード数,フィールド数,1日のAPIリクエスト数,添付ファイルの合計サイズ（byte）,カスタマイズ,アプリ管理者数
144,project_documents_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/144/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=144,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,9,0,0,なし,未取得
145,tasks_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/145/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=145,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,12,0,0,なし,未取得
146,equipment_loans_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/146/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=146,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,10,0,0,なし,未取得
147,equipment_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/147/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=147,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,6,0,0,なし,未取得
148,bank_transfer_batches_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/148/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=148,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,12,0,0,なし,未取得
149,payout_deliveries_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/149/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=149,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,8,0,0,なし,未取得
150,incentives_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/150/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=150,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,12,0,0,なし,未取得
151,expenses_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/151/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=151,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,13,0,0,なし,未取得
152,incentive_rules_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/152/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=152,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,11,0,0,なし,未取得
153,task_templates_sjis,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/153/,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/admin/app/flow?app=153,チームVANZAI,https://xtf5wpxp3gk2.cybozu.com/k/guest/3/#/space/3,Public,運用中,2026/1/27,0,7,0,0,なし,未取得
