"type_id","name","parent_major","parent_middle"
"PT044","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT114","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT115","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT118","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT119","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT120","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT121","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT122","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT124","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT016","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT021","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT022","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT023","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT019","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT025","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT043","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT042","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回_武蔵野支社"
"PT024","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT100","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT099","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT098","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT102","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT096","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT093","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT092","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT026","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT097","??:?","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT117","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT101","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT095","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT094","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回1480円"
"PT020","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT018","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT017","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT123","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
"PT116","??:??","J社_加熱式タバコ販促PR施策","飲食店巡回980円"
