"type_id","name","parent_major","parent_middle"
"PT079","アキラ","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT080","ドンキ梅島","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT078","にん仙","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT081","ビック立川","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT082","一古","J社_加熱式タバコ販促PR施策","商業施設/たばこ屋系"
"PT111","飲食:蒲","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT104","飲食:五","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT110","飲食:秋","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT108","飲食:渋","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT103","飲食:上","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT106","飲食:新橋","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT105","飲食:新宿","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT109","飲食:神","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT112","飲食:西新","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT113","飲食:赤","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
"PT107","飲食:池","J社_加熱式タバコ販促PR施策","飲食店巡回2980円"
